 name  subgroup  row  col  crate  neighbor_crate
 G538         2    7    4      6              -1
 G539         2    7    5      6              -1
 G540         2    7    6      6              -1
 G541         4   12    1      0              -1
 G542         4   12    2      0              -1
 G543         4   12    3      0              -1
 G544         4   12    4      0              -1
 G545         4   12    5      0              -1
 G546         4   12    6      0              -1
 G565         2    6    1      6              -1
 G566         2    6    2      6              -1
 G567         2    6    3      6              -1
 G568         2    6    4      6              -1
 G569         2    6    5      6              -1
 G570         2    6    6      6              -1
 G571         4   11    1      0              -1
 G572         4   11    2      0              -1
 G573         4   11    3      0              -1
 G574         4   11    4      0              -1
 G575         4   11    5      0              -1
 G576         4   11    6      0              -1
 G595         2    5    1      6              -1
 G596         2    5    2      6              -1
 G597         2    5    3      6              -1
 G598         2    5    4      6              -1
 G599         2    5    5      6              -1
 G600         2    5    6      6              -1
 G601         4   10    1      0              -1
 G602         4   10    2      0              -1
 G603         4   10    3      0              -1
 G604         4   10    4      0              -1
 G605         4   10    5      0              -1
 G606         4   10    6      0              -1
 G625         2    4    1      6              -1
 G626         2    4    2      6              -1
 G627         2    4    3      6              -1
 G628         2    4    4      6              -1
 G629         2    4    5      6              -1
 G630         2    4    6      6              -1
 G631         4    9    1      0              -1
 G632         4    9    2      0              -1
 G633         4    9    3      0              -1
 G634         4    9    4      0              -1
 G635         4    9    5      0              -1
 G636         4    9    6      0              -1
 G655         2    3    1      6              -1
 G656         2    3    2      6              -1
 G657         2    3    3      6              -1
 G658         2    3    4      6              -1
 G659         2    3    5      6              -1
 G660         2    3    6      6              -1
 G661         4    8    1      0              -1
 G662         4    8    2      0              -1
 G663         4    8    3      0              -1
 G664         4    8    4      0              -1
 G665         4    8    5      0              -1
 G666         4    8    6      0              -1
 G685         2    2    1      6              -1
 G686         2    2    2      6              -1
 G687         2    2    3      6              -1
 G688         2    2    4      6              -1
 G689         2    2    5      6              -1
 G690         2    2    6      6              -1
 G691         4    7    1      0              -1
 G692         4    7    2      0              -1
 G693         4    7    3      0              -1
 G694         4    7    4      0              -1
 G695         4    7    5      0              -1
 G696         4    7    6      0              -1
 G715         2    1    1      6               5
 G716         2    1    2      6              -1
 G717         2    1    3      6              -1
 G718         2    1    4      6              -1
 G719         2    1    5      6              -1
 G720         2    1    6      6              -1
 G721         4    6    1      0              -1
 G722         4    6    2      0              -1
 G723         4    6    3      0              -1
 G724         4    6    4      0              -1
 G725         4    6    5      0              -1
 G726         4    6    6      0               1
 G727         3    6    1      1               0
 G728         3    6    2      1               0
 G729         3    6    3      1              -1
 G730         3    6    4      1               2
 G731         3    6    5      2               1
 G732         3    6    6      2              -1
 G733         3    6    7      2              -1
 G734         3    6    8      2               3
 G735         3    6    9      3               2
 G736         3    6   10      3              -1
 G737         3    6   11      3               4
 G738         3    6   12      4               3
 G739         3    6   13      4              -1
 G740         3    6   14      4               5
 G741         3    6   15      4               5
 G742         3    6   16      5               4
 G743         3    6   17      5              -1
 G744         3    6   18      5               6
 G745         3    6   19      5               6
 G746         3    6   20      6               5
 G747         3    6   21      6              -1
 G748         3    6   22      6              -1
 G749         3    6   23      6              -1
 G750         3    6   24      6              -1
 G751         4    5    1      0              -1
 G752         4    5    2      0              -1
 G753         4    5    3      0              -1
 G754         4    5    4      0              -1
 G755         4    5    5      0              -1
 G756         4    5    6      0               1
 G757         3    5    1      1               0
 G758         3    5    2      1              -1
 G759         3    5    3      1              -1
 G760         3    5    4      1               2
 G761         3    5    5      2               1
 G762         3    5    6      2              -1
 G763         3    5    7      2              -1
 G764         3    5    8      2               3
 G765         3    5    9      3               2
 G766         3    5   10      3              -1
 G767         3    5   11      3               4
 G768         3    5   12      4               3
 G769         3    5   13      4              -1
 G770         3    5   14      4              -1
 G771         3    5   15      4               5
 G772         3    5   16      5               4
 G773         3    5   17      5              -1
 G774         3    5   18      5              -1
 G775         3    5   19      5               6
 G776         3    5   20      6               5
 G777         3    5   21      6              -1
 G778         3    5   22      6              -1
 G779         3    5   23      6              -1
