 name  crate  slot  channel  VPCB.board  VPCB.connector  cable.board  sub.label  group.label  cable.number  pin.number  link_to_crate  link_slot  link_channel
 G214      0     8        6          10              46         10.0        3.0          0.0          19.0        14.0             -1         -1            -1
 G213      0     8        7          10              45         10.0        3.0          0.0          20.0        13.0             -1         -1            -1
 G212      0     8        8          10              44         10.0        3.0          0.0          21.0        12.0             -1         -1            -1
 G211      0     8        9          10              43         10.0        3.0          0.0          22.0        11.0             -1         -1            -1
 G186      0     8       10          10              42         10.0        3.0          0.0          23.0        10.0              1          1            10
 G185      0     8       11          10              41         10.0        3.0          0.0          24.0         9.0             -1         -1            -1
 G184      0     8       12          10              40         10.0        3.0          0.0          25.0         8.0             -1         -1            -1
 G183      0     8       13          10              39         10.0        3.0          0.0          26.0         7.0             -1         -1            -1
 G182      0     8       14          10              38         10.0        3.0          0.0          27.0         6.0             -1         -1            -1
 G876      0     8       15          10             180         10.0        6.0          0.0           1.0        32.0              1          1            16
 G875      0     9        0          10             179         10.0        6.0          0.0           2.0        31.0             -1         -1            -1
 G874      0     9        1          10             178         10.0        6.0          0.0           3.0        30.0             -1         -1            -1
 G873      0     9        2          10             177         10.0        6.0          0.0           4.0        29.0             -1         -1            -1
 G872      0     9        3          10             176         10.0        6.0          0.0           5.0        28.0             -1         -1            -1
 G871      0     9        4          10             175         10.0        6.0          0.0           6.0        27.0             -1         -1            -1
 G846      0     9        5          10             174         10.0        6.0          0.0           7.0        26.0              1          1            15
 G845      0     9        6          10             173         10.0        6.0          0.0           8.0        25.0             -1         -1            -1
 G844      0     9        7          10             172         10.0        6.0          0.0           9.0        24.0             -1         -1            -1
 G843      0     9        8          10             171         10.0        6.0          0.0          10.0        23.0             -1         -1            -1
 G842      0     9        9          10             170         10.0        6.0          0.0          11.0        22.0             -1         -1            -1
 G841      0     9       10          10             169         10.0        6.0          0.0          12.0        21.0             -1         -1            -1
 G816      0     9       11          10             168         10.0        6.0          0.0          13.0        20.0              1          1            14
 G815      0     9       12          10             167         10.0        6.0          0.0          14.0        19.0             -1         -1            -1
 G814      0     9       13          10             166         10.0        6.0          0.0          15.0        18.0             -1         -1            -1
 G813      0     9       14          10             165         10.0        6.0          0.0          16.0        17.0             -1         -1            -1
 G812      0     9       15          10             164         10.0        6.0          0.0          17.0        16.0             -1         -1            -1
 G811      0    10        0          10             163         10.0        6.0          0.0          18.0        15.0             -1         -1            -1
 G786      0    10        1          10             162         10.0        6.0          0.0          19.0        14.0              1          1            13
 G785      0    10        2          10             161         10.0        6.0          0.0          20.0        13.0             -1         -1            -1
 G784      0    10        3          10             160         10.0        6.0          0.0          21.0        12.0             -1         -1            -1
 G783      0    10        4          10             159         10.0        6.0          0.0          22.0        11.0             -1         -1            -1
 G782      0    10        5          10             158         10.0        6.0          0.0          23.0        10.0             -1         -1            -1
 G781      0    10        6          10             157         10.0        6.0          0.0          24.0         9.0             -1         -1            -1
 G756      0    10        7          10             156         10.0        6.0          0.0          25.0         8.0              1          1            12
 G755      0    10        8          10             155         10.0        6.0          0.0          26.0         7.0             -1         -1            -1
 G754      0    10        9          10             154         10.0        6.0          0.0          27.0         6.0             -1         -1            -1
 G753      0    10       10          10             153         10.0        6.0          0.0          28.0         5.0             -1         -1            -1
 G752      0    10       11          10             152         10.0        6.0          0.0          29.0         4.0             -1         -1            -1
 G751      0    10       12          10             151         10.0        6.0          0.0          30.0         3.0             -1         -1            -1
 G726      0    10       13          10             150         10.0        6.0          0.0          31.0         2.0              1          1            11
 G725      0    10       14          10             149         10.0        6.0          0.0          32.0         1.0             -1         -1            -1
 G631      0    13        0          10             127         10.0        4.0          0.0           1.0         5.0             -1         -1            -1
 G606      0    13        1          10             126         10.0        4.0          0.0           2.0         4.0             -1         -1            -1
 G605      0    13        2          10             125         10.0        4.0          0.0           3.0         3.0             -1         -1            -1
 G604      0    13        3          10             124         10.0        4.0          0.0           4.0         2.0             -1         -1            -1
 G603      0    13        4          10             123         10.0        4.0          0.0           5.0         1.0             -1         -1            -1
 G724      0    13        5          10             148         10.0        4.0          0.0           7.0        26.0             -1         -1            -1
 G723      0    13        6          10             147         10.0        4.0          0.0           8.0        25.0             -1         -1            -1
 G722      0    13        7          10             146         10.0        4.0          0.0           9.0        24.0             -1         -1            -1
 G721      0    13        8          10             145         10.0        4.0          0.0          10.0        23.0             -1         -1            -1
 G696      0    13        9          10             144         10.0        4.0          0.0          11.0        22.0             -1         -1            -1
 G695      0    13       10          10             143         10.0        4.0          0.0          12.0        21.0             -1         -1            -1
 G694      0    13       11          10             142         10.0        4.0          0.0          13.0        20.0             -1         -1            -1
 G693      0    13       12          10             141         10.0        4.0          0.0          14.0        19.0             -1         -1            -1
 G692      0    13       13          10             140         10.0        4.0          0.0          15.0        18.0             -1         -1            -1
 G691      0    13       14          10             139         10.0        4.0          0.0          16.0        17.0             -1         -1            -1
 G666      0    13       15          10             138         10.0        4.0          0.0          17.0        16.0             -1         -1            -1
 G665      0    14        0          10             137         10.0        4.0          0.0          18.0        15.0             -1         -1            -1
 G664      0    14        1          10             136         10.0        4.0          0.0          19.0        14.0             -1         -1            -1
 G663      0    14        2          10             135         10.0        4.0          0.0          20.0        13.0             -1         -1            -1
 G662      0    14        3          10             134         10.0        4.0          0.0          21.0        12.0             -1         -1            -1
 G661      0    14        4          10             133         10.0        4.0          0.0          22.0        11.0             -1         -1            -1
 G636      0    14        5          10             132         10.0        4.0          0.0          23.0        10.0             -1         -1            -1
 G635      0    14        6          10             131         10.0        4.0          0.0          24.0         9.0             -1         -1            -1
